term,crn,iid
201803,62773,100000057
201803,62799,100000057
201803,62825,100000057
201803,62854,100000057
201803,62880,100000057
201803,68708,100000057
201803,68756,100000057
201803,68813,100000057
201803,73387,100000057
201803,73402,100000057
201803,73459,100000057
201803,73511,100000057
201803,82842,100000057
201810,19361,100000057
201810,19400,100000057
201810,19460,100000057
201810,22763,100000057
201810,22809,100000057
201810,22835,100000057
201810,22861,100000057
201810,22888,100000057
201810,22915,100000057
201810,28799,100000057
201810,28810,100000057
201810,28893,100000057
201810,33937,100000057
201810,33956,100000057
201810,34015,100000057
201810,34071,100000057
201801,42146,100000058
201801,42176,100000058
201801,42229,100000058
201801,42257,100000058
201801,42284,100000058
201801,42312,100000058
201801,42342,100000058
201801,42383,100000058
201801,42412,100000058
201801,42441,100000058
201803,51934,100000058
201803,51935,100000058
201803,51936,100000058
201803,51937,100000058
201803,51938,100000058
201803,51939,100000058
201803,51940,100000058
201803,51941,100000058
201803,51942,100000058
201803,51943,100000058
201803,51944,100000058
201803,51945,100000058
201803,51946,100000058
201803,51947,100000058
201803,51948,100000058
201803,51949,100000058
201803,51950,100000058
201803,51951,100000058
201803,51952,100000058
201803,51953,100000058
201803,51955,100000058
201803,51956,100000058
201803,51957,100000058
201803,51986,100000058
201803,52017,100000058
201803,52069,100000058
201803,52099,100000058
201803,52129,100000058
201803,52159,100000058
201803,52188,100000058
201803,52231,100000058
201803,52259,100000058
201803,52287,100000058
201810,12054,100000058
201810,12082,100000058
201810,12132,100000058
201810,12162,100000058
201810,12192,100000058
201810,12222,100000058
201810,12252,100000058
201810,12296,100000058
201810,12322,100000058
201810,12351,100000058
201801,51222,100000059
201801,51344,100000059
201801,51379,100000059
201801,51422,100000059
201801,62897,100000059
201801,74795,100000059
201801,74796,100000059
201801,75353,100000059
201801,75358,100000059
201801,75363,100000059
201801,75367,100000059
201801,75372,100000059
201803,59649,100000059
201803,59689,100000059
201803,59729,100000059
201803,59847,100000059
201803,59895,100000059
201803,59935,100000059
201803,59972,100000059
201803,59982,100000059
201803,60024,100000059
201803,60058,100000059
201803,60092,100000059
201810,19574,100000059
201810,19616,100000059
201810,19658,100000059
201810,19809,100000059
201810,19861,100000059
201810,19903,100000059
201810,19964,100000059
201810,20006,100000059
201810,20048,100000059
201801,59064,100000060
201803,81147,100000061
201810,23272,100000061
201810,39206,100000061
201801,60726,100000062
201801,60759,100000062
201801,60771,100000062
201801,60797,100000062
201801,60898,100000062
201801,74693,100000062
201803,68632,100000062
201803,68656,100000062
201803,68723,100000062
201803,68785,100000062
201810,28736,100000062
201810,28764,100000062
201810,28785,100000062
201803,75806,100000063
201803,75869,100000063
201801,60502,100000064
201801,60503,100000064
201801,60761,100000064
201801,60785,100000064
201801,60871,100000064
201801,60911,100000064
201801,74655,100000064
201801,74656,100000064
201803,68482,100000064
201803,68483,100000064
201803,68484,100000064
201803,68485,100000064
201803,68540,100000064
201803,68560,100000064
201803,68603,100000064
201803,68670,100000064
201803,68744,100000064
201803,68805,100000064
201810,28658,100000064
201810,28667,100000064
201810,28777,100000064
201810,28813,100000064
201810,28842,100000064
201810,28892,100000064
201810,16187,100000067
201810,43411,100000067
201810,43412,100000067
201810,43413,100000067
201810,43414,100000067
201810,43415,100000067
201810,43416,100000067
201810,43417,100000067
201810,43418,100000067
201810,43419,100000067
201810,43420,100000067
201801,55659,100000068
201801,55660,100000068
201801,62788,100000068
201801,62965,100000068
201801,62974,100000068
201801,64335,100000068
201801,64387,100000068
201801,65593,100000068
201803,70764,100000068
201803,72176,100000068
201803,72232,100000068
201803,73378,100000068
201810,30762,100000068
201810,31025,100000068
201801,44957,100000069
201801,55102,100000069
201801,55115,100000069
201801,55128,100000069
201801,55141,100000069
201801,55154,100000069
201801,55167,100000069
201801,55198,100000069
201801,55211,100000069
201801,55227,100000069
201801,55240,100000069
201801,55253,100000069
201801,55266,100000069
201801,62527,100000069
201801,62599,100000069
201801,62680,100000069
201801,64008,100000069
201801,64039,100000069
201801,64103,100000069
201801,64147,100000069
201801,64199,100000069
201801,64249,100000069
201803,53668,100000069
201803,63747,100000069
201803,63760,100000069
201803,63773,100000069
201803,63786,100000069
201803,63799,100000069
201803,63818,100000069
201803,63825,100000069
201803,63833,100000069
201803,63847,100000069
201803,63860,100000069
201803,63873,100000069
201803,63886,100000069
201803,70434,100000069
201803,71854,100000069
201803,71874,100000069
201803,71990,100000069
201803,72074,100000069
201810,13693,100000069
201810,23751,100000069
201810,23762,100000069
201810,23775,100000069
201810,23788,100000069
201810,23801,100000069
201810,23814,100000069
201810,23829,100000069
201810,23840,100000069
201810,23854,100000069
201810,23867,100000069
201810,23880,100000069
201810,23893,100000069
201810,30475,100000069
201810,30564,100000069
201810,30650,100000069
201810,32134,100000069
201810,32207,100000069
201810,32266,100000069
201810,32304,100000069
201810,32305,100000069
201810,32306,100000069
201810,32307,100000069
201810,32308,100000069
201810,32309,100000069
201810,32339,100000069
201810,32413,100000069
201810,32528,100000069
201810,32604,100000069
201810,43581,100000069
201810,43582,100000069
201810,43622,100000069
201801,50203,100000070
201801,50254,100000070
201801,50305,100000070
201801,50383,100000070
201801,50434,100000070
201801,50485,100000070
201801,50537,100000070
201801,50618,100000070
201801,50671,100000070
201801,50722,100000070
201801,50773,100000070
201801,74607,100000070
201803,58851,100000070
201803,58902,100000070
201803,58953,100000070
201803,58968,100000070
201803,58969,100000070
201803,58970,100000070
201803,58971,100000070
201803,58972,100000070
201803,58973,100000070
201803,58974,100000070
201803,59037,100000070
201803,59088,100000070
201803,59139,100000070
201803,59190,100000070
201803,59282,100000070
201803,59334,100000070
201803,59385,100000070
201803,59436,100000070
201810,18769,100000070
201810,18818,100000070
201810,18869,100000070
201810,18955,100000070
201810,19006,100000070
201810,19063,100000070
201810,19114,100000070
201810,19135,100000070
201810,19196,100000070
201810,19248,100000070
201810,19299,100000070
201810,19350,100000070
201801,48107,100000071
201801,48134,100000071
201801,48161,100000071
201801,48188,100000071
201801,48236,100000071
201801,48263,100000071
201801,53038,100000071
201801,53061,100000071
201801,53099,100000071
201801,53189,100000071
201801,53219,100000071
201801,53291,100000071
201801,53321,100000071
201801,53392,100000071
201801,53435,100000071
201801,53490,100000071
201801,53539,100000071
201801,58255,100000071
201803,56798,100000071
201803,56825,100000071
201803,56852,100000071
201803,56879,100000071
201803,56917,100000071
201803,56944,100000071
201803,61690,100000071
201803,61713,100000071
201803,61751,100000071
201803,61838,100000071
201803,61867,100000071
201803,61938,100000071
201803,61968,100000071
201803,62040,100000071
201803,62086,100000071
201803,62138,100000071
201803,62174,100000071
201803,62191,100000071
201803,81973,100000071
201810,16719,100000071
201810,16750,100000071
201810,16781,100000071
201810,16812,100000071
201810,16857,100000071
201810,16887,100000071
201810,21793,100000071
201810,21825,100000071
201810,21863,100000071
201810,21942,100000071
201810,22013,100000071
201810,22052,100000071
201810,22108,100000071
201810,22150,100000071
201810,22200,100000071
201810,22250,100000071
201801,42576,100000072
201801,42617,100000072
201801,42709,100000072
201801,42762,100000072
201801,42804,100000072
201801,42845,100000072
201801,42940,100000072
201801,42982,100000072
201803,52420,100000072
201803,52462,100000072
201803,52569,100000072
201803,52611,100000072
201803,52652,100000072
201803,52697,100000072
201803,52748,100000072
201810,12472,100000072
201810,12513,100000072
201810,12606,100000072
201810,12657,100000072
201810,12700,100000072
201810,12793,100000072
201810,12834,100000072
201810,12876,100000072
201801,60689,100000073
201801,72548,100000073
201801,72560,100000073
201801,72597,100000073
201801,72627,100000073
201803,68566,100000073
201803,68608,100000073
201803,80164,100000073
201803,80175,100000073
201803,80180,100000073
201803,80236,100000073
201803,80259,100000073
201810,40793,100000073
201810,40796,100000073
201810,40802,100000073
201810,40848,100000073
201810,40870,100000073
201801,60796,100000074
201801,60901,100000074
201803,68659,100000074
201803,68687,100000074
201803,68701,100000074
201803,68726,100000074
201803,68788,100000074
201810,28767,100000074
201801,60748,100000075
201801,60775,100000075
201801,60852,100000075
201801,60863,100000075
201801,60896,100000075
201801,72574,100000075
201803,68448,100000075
201803,68449,100000075
201803,68450,100000075
201803,68564,100000075
201803,68716,100000075
201803,68779,100000075
201803,82010,100000075
201803,82038,100000075
201803,82522,100000075
201810,28718,100000075
201810,28779,100000075
201810,28845,100000075
201810,28894,100000075
201801,44891,100000076
201803,53602,100000076
201810,13630,100000076
201810,37901,100000076
201810,31510,100000079
201810,43555,100000079
201801,45031,100000080
201801,45514,100000080
201801,45522,100000080
201801,45523,100000080
201801,45524,100000080
201801,45525,100000080
201801,45526,100000080
201801,57027,100000080
201801,61058,100000080
201801,61196,100000080
201801,61323,100000080
201801,61450,100000080
201801,61579,100000080
201801,61706,100000080
201801,61832,100000080
201801,61977,100000080
201801,62108,100000080
201801,62237,100000080
201801,62364,100000080
201801,62491,100000080
201801,64108,100000080
201801,64139,100000080
201801,64275,100000080
201801,64437,100000080
201801,64510,100000080
201803,53741,100000080
201803,65595,100000080
201803,71986,100000080
201803,72040,100000080
201803,72069,100000080
201803,72278,100000080
201803,72334,100000080
201803,72338,100000080
201803,72361,100000080
201810,13761,100000080
201810,25614,100000080
201810,32346,100000080
201810,32611,100000080
201810,32801,100000080
201810,32885,100000080
201810,42212,100000081
201810,41232,100000082
201801,46396,100000083
201801,46452,100000083
201801,46596,100000083
201801,46652,100000083
201801,46708,100000083
201801,46764,100000083
201801,46820,100000083
201801,46876,100000083
201801,47002,100000083
201801,47063,100000083
201801,47124,100000083
201801,47191,100000083
201801,47252,100000083
201801,47313,100000083
201801,50078,100000083
201801,50122,100000083
201801,52759,100000083
201801,52790,100000083
201801,52820,100000083
201801,52843,100000083
201801,52859,100000083
201801,52872,100000083
201801,56255,100000083
201801,56317,100000083
201801,56353,100000083
201801,56386,100000083
201801,56422,100000083
201801,56458,100000083
201801,56494,100000083
201801,56530,100000083
201801,56572,100000083
201801,56608,100000083
201801,56644,100000083
201803,55116,100000083
201803,55172,100000083
201803,55326,100000083
201803,55378,100000083
201803,55429,100000083
201803,55480,100000083
201803,55531,100000083
201803,55582,100000083
201803,55632,100000083
201803,55693,100000083
201803,55754,100000083
201803,55815,100000083
201803,55882,100000083
201803,55943,100000083
201803,56004,100000083
201803,58737,100000083
201803,58779,100000083
201803,61430,100000083
201803,61460,100000083
201803,61479,100000083
201803,61488,100000083
201803,61511,100000083
201803,61529,100000083
201803,61542,100000083
201803,64890,100000083
201803,64948,100000083
201803,64984,100000083
201803,65020,100000083
201803,65056,100000083
201803,65092,100000083
201803,65128,100000083
201803,65164,100000083
201803,65206,100000083
201803,65242,100000083
201803,65279,100000083
201803,79976,100000083
201803,79993,100000083
201803,80006,100000083
201803,80019,100000083
201803,80033,100000083
201803,80047,100000083
201803,80062,100000083
201803,80077,100000083
201810,15190,100000083
201810,15240,100000083
201810,15374,100000083
201810,15425,100000083
201810,15476,100000083
201810,15527,100000083
201810,15630,100000083
201810,15682,100000083
201810,15740,100000083
201810,15796,100000083
201810,15852,100000083
201810,15915,100000083
201810,15971,100000083
201810,16027,100000083
201810,18514,100000083
201810,18545,100000083
201810,18610,100000083
201810,18640,100000083
201810,18681,100000083
201810,21465,100000083
201810,21486,100000083
201810,21500,100000083
201810,21527,100000083
201810,21551,100000083
201810,21570,100000083
201810,21588,100000083
201810,21612,100000083
201810,24875,100000083
201810,24922,100000083
201810,24959,100000083
201810,24995,100000083
201810,25031,100000083
201810,25067,100000083
201810,25103,100000083
201810,25139,100000083
201810,25180,100000083
201810,25216,100000083
201810,25253,100000083
201801,40958,100000084
201801,75391,100000084
201803,50682,100000084
201803,50725,100000084
201803,50760,100000084
201803,50776,100000084
201803,81950,100000084
201803,82521,100000084
201810,10783,100000084
201810,10823,100000084
201803,80666,100000086
201801,52149,100000087
201803,60864,100000087
201810,20802,100000087
201801,45776,100000088
201801,45855,100000088
201801,46404,100000088
201801,46460,100000088
201801,46485,100000088
201801,46604,100000088
201801,46660,100000088
201801,46716,100000088
201801,46772,100000088
201801,46828,100000088
201801,46883,100000088
201801,46943,100000088
201801,46959,100000088
201801,47010,100000088
201801,47071,100000088
201801,47132,100000088
201801,47199,100000088
201801,47260,100000088
201801,47321,100000088
201801,59566,100000088
201803,54524,100000088
201803,54596,100000088
201803,54643,100000088
201803,55124,100000088
201803,55180,100000088
201803,55205,100000088
201803,55334,100000088
201803,55386,100000088
201803,55437,100000088
201803,55488,100000088
201803,55539,100000088
201803,55590,100000088
201803,55642,100000088
201803,55701,100000088
201803,55762,100000088
201803,55823,100000088
201803,55890,100000088
201803,55951,100000088
201803,56012,100000088
201803,67614,100000088
201803,82891,100000088
201810,14595,100000088
201810,14712,100000088
201810,15198,100000088
201810,15248,100000088
201810,15382,100000088
201810,15433,100000088
201810,15484,100000088
201810,15535,100000088
201810,15587,100000088
201810,15638,100000088
201810,15689,100000088
201810,15748,100000088
201810,15804,100000088
201810,15860,100000088
201810,15923,100000088
201810,15979,100000088
201810,16035,100000088
201801,52050,100000090
201801,52125,100000090
201801,52182,100000090
201803,60573,100000090
201803,60626,100000090
201803,60823,100000090
201803,81593,100000090
201810,20559,100000090
201810,20560,100000090
201810,20795,100000090
201801,57572,100000092
